face_similarity,image_quality,metadata_similarity,username_similarity,source_count,platform_overlap,temporal_distance_days,label
0.81,0.76,0.22,0.30,1,0,95,0
0.84,0.78,0.25,0.32,1,0,88,0
0.86,0.80,0.20,0.28,1,0,90,0
0.88,0.82,0.30,0.35,1,0,70,0
0.79,0.74,0.28,0.33,2,1,65,0
0.77,0.72,0.35,0.40,2,1,60,0
0.75,0.70,0.38,0.42,2,1,58,0
0.73,0.69,0.40,0.45,2,1,62,0
0.71,0.67,0.42,0.48,2,1,68,0
0.69,0.65,0.45,0.50,3,2,75,0
0.67,0.64,0.48,0.52,3,2,80,0
0.65,0.62,0.50,0.55,3,2,85,0
0.83,0.77,0.30,0.36,1,0,92,0
0.85,0.79,0.25,0.34,1,0,89,0
0.87,0.81,0.22,0.31,1,0,94,0
0.80,0.75,0.33,0.38,2,1,66,0
0.78,0.73,0.36,0.40,2,1,63,0
0.76,0.71,0.39,0.43,2,1,59,0
0.74,0.70,0.41,0.46,2,1,61,0
0.72,0.68,0.44,0.49,2,1,67,0
0.70,0.66,0.46,0.51,3,2,72,0
0.68,0.64,0.49,0.53,3,2,78,0
0.66,0.63,0.51,0.56,3,2,82,0
0.64,0.61,0.53,0.58,3,2,87,0
0.62,0.60,0.55,0.60,3,2,90,0

0.70,0.68,0.50,0.55,2,1,40,1
0.72,0.70,0.48,0.52,2,1,45,1
0.74,0.72,0.52,0.56,2,1,42,1
0.76,0.74,0.50,0.54,2,1,38,1
0.78,0.75,0.55,0.58,3,2,36,1
0.92,0.85,0.70,0.75,4,3,18,1
0.90,0.83,0.72,0.78,5,4,12,1
0.88,0.82,0.68,0.74,4,3,20,1
0.86,0.80,0.65,0.72,4,3,22,1
0.84,0.78,0.67,0.73,5,4,15,1
0.58,0.60,0.40,0.42,1,0,85,1
0.60,0.62,0.38,0.40,1,0,90,1
0.62,0.64,0.42,0.44,1,0,78,1
0.64,0.66,0.45,0.46,1,0,82,1
0.56,0.58,0.35,0.38,1,0,88,1
0.91,0.84,0.30,0.35,4,3,10,0
0.89,0.82,0.28,0.32,4,3,12,0
0.87,0.80,0.25,0.30,5,4,8,0
0.80,0.76,0.53,0.56,3,2,34,1
0.82,0.78,0.51,0.54,3,2,32,1
0.84,0.80,0.49,0.52,3,2,35,1
0.79,0.75,0.57,0.60,3,2,33,1
0.77,0.73,0.59,0.62,3,2,37,1
0.75,0.71,0.61,0.64,3,2,39,1
0.73,0.70,0.63,0.66,3,2,41,1
0.81,0.77,0.54,0.58,2,1,44,1
0.83,0.79,0.52,0.56,2,1,46,1
0.85,0.81,0.50,0.54,2,1,48,1
0.78,0.74,0.60,0.63,3,2,35,1
0.76,0.72,0.62,0.65,3,2,37,1
0.74,0.71,0.64,0.67,3,2,39,1
0.72,0.69,0.66,0.69,3,2,41,1
0.70,0.68,0.68,0.71,3,2,43,1
0.82,0.78,0.56,0.60,2,1,45,1
0.84,0.80,0.54,0.58,2,1,47,1
0.86,0.82,0.52,0.56,2,1,49,1
0.79,0.75,0.58,0.61,3,2,36,1
0.77,0.73,0.60,0.63,3,2,38,1

0.78,0.74,0.82,0.78,4,3,14,2
0.80,0.76,0.80,0.76,4,3,16,2
0.82,0.78,0.78,0.74,4,3,18,2
0.84,0.80,0.76,0.72,4,3,20,2
0.86,0.82,0.74,0.70,4,3,22,2
0.88,0.84,0.72,0.68,4,3,24,2
0.90,0.86,0.70,0.66,4,3,26,2
0.92,0.88,0.68,0.64,4,3,28,2
0.83,0.79,0.75,0.72,5,4,15,2
0.85,0.81,0.78,0.74,5,4,13,2
0.87,0.83,0.80,0.76,5,4,11,2
0.89,0.85,0.82,0.78,5,4,9,2
0.91,0.87,0.84,0.80,5,4,7,2
0.93,0.89,0.86,0.82,5,4,5,2
0.95,0.91,0.88,0.84,5,4,3,2
0.81,0.77,0.85,0.82,6,5,10,2
0.79,0.75,0.87,0.84,6,5,8,2
0.77,0.73,0.89,0.86,6,5,6,2
0.75,0.71,0.91,0.88,6,5,4,2
0.73,0.69,0.93,0.90,6,5,2,2
0.71,0.67,0.95,0.92,7,6,1,2
0.83,0.79,0.78,0.75,4,3,19,2
0.85,0.81,0.76,0.73,4,3,21,2
0.87,0.83,0.74,0.71,4,3,23,2
